clusterNumber	bestScore_x	Organism_x	Score_x	proteinID_x	Bootstrap_x	bestScore_y	Organism_y	Score_y	proteinID_y	Bootstrap_y
2817	1526	H.sapiens	1.0	Q8TCG1	100%	1526	M.musculus	1.0	Q8BWY9	100%
2818	1526	H.sapiens	1.0	Q9H1B7	100%	1526	M.musculus	1.0	Q8K3X4	100%
2819	1525	H.sapiens	1.0	P09327	100%	1525	M.musculus	1.0	Q62468	100%
2820	1525	H.sapiens	1.0	Q14BN4	100%	1525	M.musculus	1.0	Q3URD3	100%
2821	1525	H.sapiens	1.0	Q17R89	100%	1525	M.musculus	1.0	Q5SSM3	100%
2822	1525	H.sapiens	1.0	Q6ZU35	100%	1525	M.musculus	1.0	Q5PR69	100%
2823	1525	H.sapiens	1.0	Q6N043	100%	1525	M.musculus	1.0	Q68FE8	100%
2824	1525	H.sapiens	1.0	Q9ULI3	100%	1525	M.musculus	1.0	E9Q7X6	100%
2825	1525	H.sapiens	1.0	Q96GP6	100%	1525	M.musculus	1.0	P59222	100%
2826	1525	H.sapiens	1.0	Q8IYB7	100%	1525	M.musculus	1.0	Q8CI75	100%
2827	1525	H.sapiens	1.0	Q58WW2	100%	1525	M.musculus	1.0	Q9DC22	100%
2828	1525	H.sapiens	1.0	Q93034	100%	1525	M.musculus	1.0	Q9D5V5	100%
2829	1524	H.sapiens	1.0	O14672	100%	1524	M.musculus	1.0	O35598	100%
2830	1524	H.sapiens	1.0	P15144	100%	1524	M.musculus	1.0	P97449	100%
2831	1524	H.sapiens	1.0	O75128	100%	1524	M.musculus	1.0	Q5NBX1	100%
2832	1524	H.sapiens	1.0	O43184	100%	1524	M.musculus	1.0	Q61824	100%
2833	1524	H.sapiens	1.0	Q8N655	100%	1524	M.musculus	1.0	F6RGI3	100%
2834	1524	H.sapiens	1.0	Q8IUM7	100%	1524	M.musculus	1.0	Q8BGD7	100%
2835	1524	H.sapiens	1.0	Q96PU4	100%	1524	M.musculus	1.0	Q7TMI3	100%
2836	1524	H.sapiens	1.0	Q8IY22	100%	1524	M.musculus	1.0	Q9D486	100%
2837	1524	H.sapiens	1.0	Q8IXB1	100%	1524	M.musculus	1.0	Q9DC23	100%
2838	1524	H.sapiens	1.0	Q9Y2U8	100%	1524	M.musculus	1.0	Q9WU40	100%
2839	1523	H.sapiens	1.0	O43815	100%	1523	M.musculus	1.0	O55106	100%
2840	1523	H.sapiens	1.0	Q5T5X7	100%	1523	M.musculus	1.0	Q6PAL0	100%
2841	1522	H.sapiens	1.0	Q96D71	100%	1522	M.musculus	1.0	O54916	100%
2842	1522	H.sapiens	1.0	Q15345	100%	1522	M.musculus	1.0	Q8K1C9	100%
2843	1522	H.sapiens	1.0	Q9UKI8	100%	1522	M.musculus	1.0	Q8C0V0	100%
2844	1520	H.sapiens	1.0	P18433	100%	1520	M.musculus	1.0	P18052	100%
2845	1520	H.sapiens	1.0	P17480	100%	1520	M.musculus	1.0	P25976	100%
2846	1520	H.sapiens	1.0	O95461	100%	1520	M.musculus	1.0	Q9Z1M7	100%
2847	1520	H.sapiens	1.0	Q96JE7	100%	1520	M.musculus	1.0	Q91XT4	100%
2848	1519	H.sapiens	1.0	Q5JY77	100%	1519	M.musculus	1.0	Q5U4C1	100%
2849	1519	H.sapiens	1.0	Q9Y2I6	100%	1519	M.musculus	1.0	Q6ZQ12	100%
2850	1518	H.sapiens	1.0	Q8NI08	100%	1518	M.musculus	1.0	Q6DFV7	100%
2851	1518	H.sapiens	1.0	P22735	100%	1518	M.musculus	1.0	Q9JLF6	100%
2852	1518	H.sapiens	1.0	Q9H0X9	100%	1518	M.musculus	1.0	Q9ER64	100%
2853	1517	H.sapiens	1.0	Q92854	100%	1517	M.musculus	1.0	O09126	100%
2854	1517	H.sapiens	1.0	Q5T6X5	100%	1517	M.musculus	1.0	Q8K4Z6	100%
2855	1517	H.sapiens	1.0	P18564	100%	1517	M.musculus	1.0	Q9Z0T9	100%
2856	1517	H.sapiens	1.0	Q9UP79	100%	1517	M.musculus	1.0	P57110	100%
2857	1517	H.sapiens	1.0	Q9NP73	100%	1517	M.musculus	1.0	Q9D8C3	100%
2858	1516	H.sapiens	1.0	P05067	100%	1516	M.musculus	1.0	P12023	100%
2859	1516	H.sapiens	1.0	P42892	100%	1516	M.musculus	1.0	Q4PZA2	100%
2860	1516	H.sapiens	1.0	Q99835	100%	1516	M.musculus	1.0	P56726	100%
2861	1515	H.sapiens	1.0	P22607	100%	1515	M.musculus	1.0	Q61851	100%
2862	1515	H.sapiens	1.0	Q9BVG8	100%	1515	M.musculus	1.0	O35231	100%
2863	1515	H.sapiens	1.0	Q3V5L5	100%	1515	M.musculus	1.0	Q765H6	100%
2864	1515	H.sapiens	1.0	Q13618	100%	1515	M.musculus	1.0	Q9JLV5	100%
2865	1515	H.sapiens	1.0	Q9Y4C8	100%	1515	M.musculus	1.0	Q8R3C6	100%
2866	1514	H.sapiens	1.0	P05106	100%	1514	M.musculus	1.0	O54890	100%
2867	1514	H.sapiens	1.0	Q8NE71	100%	1514	M.musculus	1.0	Q6P542	100%
2868	1514	H.sapiens	1.0	Q9H8E8	100%	1514	M.musculus	1.0	Q8CID0	100%
2869	1514	H.sapiens	1.0	Q9UJ99	100%	1514	M.musculus	1.0	Q9WTP5	100%
2870	1513	H.sapiens	1.0	Q8IWG1	100%	1513	M.musculus	1.0	B2RY71	100%
2871	1513	H.sapiens	1.0	Q13105	100%	1513	M.musculus	1.0	Q60821	100%
2872	1513	H.sapiens	1.0	Q9H2Y9	100%	1513	M.musculus	1.0	E9PVD9	100%
2873	1513	H.sapiens	1.0	Q9BVN2	100%	1513	M.musculus	1.0	Q8BG26	100%
2874	1513	H.sapiens	1.0	Q5HY92	100%	1513	M.musculus	1.0	Q9ERZ6	100%
2875	1512	H.sapiens	1.0	P23508	100%	1512	M.musculus	1.0	E9PWI3	100%
2876	1512	H.sapiens	1.0	P55157	100%	1512	M.musculus	1.0	O08601	100%
2877	1512	H.sapiens	1.0	Q14511	100%	1512	M.musculus	1.0	O35177	100%
2878	1512	H.sapiens	1.0	Q08554	100%	1512	M.musculus	1.0	P55849	100%
2879	1512	H.sapiens	1.0	Q5D862	100%	1512	M.musculus	1.0	Q2VIS4	100%
2880	1512	H.sapiens	1.0	Q75VX8	100%	1512	M.musculus	1.0	Q6PAJ3	100%
2881	1512	H.sapiens	1.0	Q8TCN5	100%	1512	M.musculus	1.0	Q6ZPY5	100%
2882	1512	H.sapiens	1.0	Q8TE76	100%	1512	M.musculus	1.0	Q8BMD7	100%
2883	1512	H.sapiens	1.0	Q9UJX5	100%	1512	M.musculus	1.0	Q91W96	100%
2884	1511	H.sapiens	1.0	Q9NRZ9	100%	1511	M.musculus	1.0	Q60848	100%
2885	1510	H.sapiens	1.0	A5PLK6	100%	1510	M.musculus	1.0	H3BL40	100%
2886	1510	H.sapiens	1.0	Q9Y5Y6	100%	1510	M.musculus	1.0	P56677	100%
2887	1510	H.sapiens	1.0	Q86VS3	100%	1510	M.musculus	1.0	Q9D2K4	100%
2888	1509	H.sapiens	1.0	P21127	100%	1509	M.musculus	1.0	P24788	100%
2889	1509	H.sapiens	1.0	O00444	100%	1509	M.musculus	1.0	Q64702	100%
2890	1509	H.sapiens	1.0	Q8IZQ8	100%	1509	M.musculus	1.0	Q8VIM5	100%
2891	1509	H.sapiens	1.0	Q9P0L2	100%	1509	M.musculus	1.0	Q8VHJ5	100%
2892	1508	H.sapiens	1.0	P18858	100%	1508	M.musculus	1.0	P37913	100%
2893	1508	H.sapiens	1.0	Q17RY0	100%	1508	M.musculus	1.0	Q7TN98	100%
2894	1507	H.sapiens	1.0	O94761	100%	1507	M.musculus	1.0	Q75NR7	100%
2895	1507	H.sapiens	1.0	P55884	100%	1507	M.musculus	1.0	Q8JZQ9	100%
2896	1507	H.sapiens	1.0	Q969R2	100%	1507	M.musculus	1.0	Q5QNQ6	100%
2897	1507	H.sapiens	1.0	Q99985	100%	1507	M.musculus	1.0	Q62181	100%
2898	1506	H.sapiens	1.0	O75074	100%	1506	M.musculus	1.0	E9Q1T6	100%
2899	1506	H.sapiens	1.0	O75366	100%	1506	M.musculus	1.0	O88398	100%
2900	1506	H.sapiens	1.0	P07332	100%	1506	M.musculus	1.0	P16879	100%
2901	1506	H.sapiens	1.0	Q9NXE4	100%	1506	M.musculus	1.0	Q6ZPR5	100%
2902	1506	H.sapiens	1.0	Q76MJ5	100%	1506	M.musculus	1.0	Q9Z2E3	100%
2903	1506	H.sapiens	1.0	Q9UJA3	100%	1506	M.musculus	1.0	Q9CWV1	100%
2904	1506	H.sapiens	1.0	Q9NP58	100%	1506	M.musculus	1.0	Q9DC29	100%
2905	1505	H.sapiens	1.0	P51793	100%	1505	M.musculus	1.0	Q61418	100%
2906	1505	H.sapiens	1.0	Q01826	100%	1505	M.musculus	1.0	Q60611	100%
2907	1505	H.sapiens	1.0	Q7Z736	100%	1505	M.musculus	1.0	Q8VCE9	100%
2908	1505	H.sapiens	1.0	Q9ULH4	100%	1505	M.musculus	1.0	Q80TG9	100%
2909	1504	H.sapiens	1.0	Q02156	100%	1504	M.musculus	1.0	P16054	100%
2910	1504	H.sapiens	1.0	O15265	100%	1504	M.musculus	1.0	Q8R4I1	100%
2911	1504	H.sapiens	1.0	O95672	100%	1504	M.musculus	1.0	Q9JMI0	100%
2912	1503	H.sapiens	1.0	P98171	100%	1503	M.musculus	1.0	B1AUY3	100%
2913	1503	H.sapiens	1.0	Q7KZI7	100%	1503	M.musculus	1.0	Q05512	100%
2914	1503	H.sapiens	1.0	Q9UBV2	100%	1503	M.musculus	1.0	Q9Z2G6	100%
2915	1502	H.sapiens	1.0	C9JH25	100%	1502	M.musculus	1.0	B2RU40	100%
2916	1502	H.sapiens	1.0	P19447	100%	1502	M.musculus	1.0	P49135	100%
2917	1502	H.sapiens	1.0	O95025	100%	1502	M.musculus	1.0	Q8BH34	100%
2918	1502	H.sapiens	1.0	P42658	100%	1502	M.musculus	1.0	Q9Z218	100%
2919	1501	H.sapiens	1.0	Q8N5U6	100%	1501	M.musculus	1.0	Q3UIW5	100%
2920	1501	H.sapiens	1.0	Q9P2H3	100%	1501	M.musculus	1.0	Q8K057	100%
2921	1500	H.sapiens	1.0	Q12929	100%	1500	M.musculus	1.0	Q08509	100%
2922	1500	H.sapiens	1.0	Q8WYR1	100%	1500	M.musculus	1.0	Q5SW28	100%
2923	1500	H.sapiens	1.0	Q13164	100%	1500	M.musculus	1.0	Q9WVS8	100%
2924	1500	H.sapiens	1.0	Q7L0J3	100%	1500	M.musculus	1.0	Q9JIS5	100%
2925	1499	H.sapiens	1.0	Q8WUF5	100%	1499	M.musculus	1.0	Q5I1X5	100%
2926	1499	H.sapiens	1.0	Q86UK7	100%	1499	M.musculus	1.0	Q80YR4	100%
2927	1498	H.sapiens	1.0	O75626	100%	1498	M.musculus	1.0	Q60636	100%
2928	1498	H.sapiens	1.0	Q9C0D4	100%	1498	M.musculus	1.0	B2RRE4	100%
2929	1498	H.sapiens	1.0	O60890	100%	1498	M.musculus	1.0	Q99J31	100%
2930	1498	H.sapiens	1.0	O43290	100%	1498	M.musculus	1.0	Q9Z315	100%
2931	1498	H.sapiens	1.0	Q96KG9	100%	1498	M.musculus	1.0	Q9EQC5	100%
2932	1498	H.sapiens	1.0	Q9HCH5	100%	1498	M.musculus	1.0	Q99N50	100%
2933	1497	H.sapiens	1.0	Q96CN4	100%	1497	M.musculus	1.0	H3BKQ3	100%
2934	1497	H.sapiens	1.0	Q86TB9	100%	1497	M.musculus	1.0	Q3TC46	100%
2935	1497	H.sapiens	1.0	Q8IY82	100%	1497	M.musculus	1.0	Q6V3W6	100%
2936	1496	H.sapiens	1.0	Q9HAU0	100%	1496	M.musculus	1.0	E9Q6H8	100%
2937	1496	H.sapiens	1.0	Q13724	100%	1496	M.musculus	1.0	Q80UM7	100%
2938	1496	H.sapiens	1.0	Q09328	100%	1496	M.musculus	1.0	Q8R4G6	100%
2939	1496	H.sapiens	1.0	P49747	100%	1496	M.musculus	1.0	Q9R0G6	100%
2940	1496	H.sapiens	1.0	Q96L34	100%	1496	M.musculus	1.0	Q8CIP4	100%
2941	1496	H.sapiens	1.0	Q92499	100%	1496	M.musculus	1.0	Q91VR5	100%
2942	1495	H.sapiens	1.0	Q6EKJ0	100%	1495	M.musculus	1.0	Q99NI3	100%
2943	1495	H.sapiens	1.0	P28715	100%	1495	M.musculus	1.0	P35689	100%
2944	1495	H.sapiens	1.0	Q92945	100%	1495	M.musculus	1.0	Q3U0V1	100%
2945	1495	H.sapiens	1.0	P58215	100%	1495	M.musculus	1.0	Q9Z175	100%
2946	1495	H.sapiens	1.0	Q8TD16	100%	1495	M.musculus	1.0	Q921C5	100%
2947	1494	H.sapiens	1.0	A0FGR9	100%	1494	M.musculus	1.0	Q5DTI8	100%
2948	1494	H.sapiens	1.0	P51795	100%	1494	M.musculus	1.0	Q9WVD4	100%
2949	1493	H.sapiens	1.0	Q13237	100%	1493	M.musculus	1.0	Q61410	100%
2950	1493	H.sapiens	1.0	Q9NYL2	100%	1493	M.musculus	1.0	Q9ESL4	100%
2951	1492	H.sapiens	1.0	P49711	100%	1492	M.musculus	1.0	Q61164	100%
2952	1492	H.sapiens	1.0	Q9ULD6	100%	1492	M.musculus	1.0	Q059U7	100%
2953	1492	H.sapiens	1.0	Q8TBB6	100%	1492	M.musculus	1.0	Q8BXR1	100%
2954	1492	H.sapiens	1.0	Q9ULT0	100%	1492	M.musculus	1.0	Q8BGB2	100%
2955	1492	H.sapiens	1.0	Q9BXL6	100%	1492	M.musculus	1.0	Q99KF0	100%
2956	1491	H.sapiens	1.0	P19634	100%	1491	M.musculus	1.0	Q61165	100%
2957	1491	H.sapiens	1.0	Q96Q91	100%	1491	M.musculus	1.0	E9PUP3	100%
2958	1490	H.sapiens	1.0	P19827	100%	1490	M.musculus	1.0	Q61702	100%
2959	1490	H.sapiens	1.0	Q9H0E9	100%	1490	M.musculus	1.0	Q8R3B7	100%
2960	1489	H.sapiens	1.0	P51812	100%	1489	M.musculus	1.0	P18654	100%
2961	1489	H.sapiens	1.0	Q8WYQ5	100%	1489	M.musculus	1.0	Q9EQM6	100%
2962	1488	H.sapiens	1.0	O14782	100%	1488	M.musculus	1.0	O35066	100%
2963	1488	H.sapiens	1.0	O15381	100%	1488	M.musculus	1.0	Q9DBY8	100%
2964	1488	H.sapiens	1.0	P54886	100%	1488	M.musculus	1.0	Q9Z110	100%
2965	1488	H.sapiens	1.0	Q9UPN4	100%	1488	M.musculus	1.0	Q62036	100%
2966	1488	H.sapiens	1.0	Q9C040	100%	1488	M.musculus	1.0	Q9ESN6	100%
2967	1487	H.sapiens	1.0	Q9UGP8	100%	1487	M.musculus	1.0	Q8VHE0	100%
2968	1487	H.sapiens	1.0	Q9ULQ1	100%	1487	M.musculus	1.0	Q9EQJ0	100%
2969	1486	H.sapiens	1.0	P25205	100%	1486	M.musculus	1.0	P25206	100%
2970	1486	H.sapiens	1.0	P78562	100%	1486	M.musculus	1.0	P70669	100%
2971	1486	H.sapiens	1.0	Q6P9F7	100%	1486	M.musculus	1.0	Q5DU41	100%
2972	1486	H.sapiens	1.0	Q8NAT2	100%	1486	M.musculus	1.0	Q5VCS6	100%
2973	1485	H.sapiens	1.0	Q9BYX2	100%	1485	M.musculus	1.0	B1AVH7	100%
2974	1485	H.sapiens	1.0	O75170	100%	1485	M.musculus	1.0	Q8R3Q2	100%
2975	1485	H.sapiens	1.0	Q8TAG9	100%	1485	M.musculus	1.0	Q8R313	100%
2976	1484	H.sapiens	1.0	Q01432	100%	1484	M.musculus	1.0	O08739	100%
2977	1484	H.sapiens	1.0	Q6P2P2	100%	1484	M.musculus	1.0	Q3U3W5	100%
2978	1484	H.sapiens	1.0	O94886	100%	1484	M.musculus	1.0	Q91YT8	100%
2979	1484	H.sapiens	1.0	Q8WVS4	100%	1484	M.musculus	1.0	Q8C761	100%
2980	1484	H.sapiens	1.0	Q9H2F5	100%	1484	M.musculus	1.0	Q8C9X6	100%
2981	1483	H.sapiens	1.0	Q02447	100%	1483	M.musculus	1.0	O70494	100%
2982	1483	H.sapiens	1.0	Q02446	100%	1483	M.musculus	1.0	Q62445	100%
2983	1483	H.sapiens	1.0	Q8TEA7	100%	1483	M.musculus	1.0	Q8BM85	100%
2984	1483	H.sapiens	1.0	Q9Y4W6	100%	1483	M.musculus	1.0	Q8JZQ2	100%
2985	1482	H.sapiens	1.0	P18074	100%	1482	M.musculus	1.0	O08811	100%
2986	1482	H.sapiens	1.0	Q8IZ52	100%	1482	M.musculus	1.0	Q6IQX7	100%
2987	1482	H.sapiens	1.0	Q8NET8	100%	1482	M.musculus	1.0	Q8K424	100%
2988	1482	H.sapiens	1.0	Q9HCE7	100%	1482	M.musculus	1.0	Q9CUN6	100%
2989	1481	H.sapiens	1.0	P49619	100%	1481	M.musculus	1.0	Q91WG7	100%
2990	1480	H.sapiens	1.0	O15041	100%	1480	M.musculus	1.0	P70275	100%
2991	1480	H.sapiens	1.0	O60733	100%	1480	M.musculus	1.0	P97819	100%
2992	1480	H.sapiens	1.0	Q96SU4	100%	1480	M.musculus	1.0	A2A8Z1	100%
2993	1480	H.sapiens	1.0	Q86UX2	100%	1480	M.musculus	1.0	Q8BJD1	100%
2994	1479	H.sapiens	1.0	P17858	100%	1479	M.musculus	1.0	P12382	100%
2995	1479	H.sapiens	1.0	P48380	100%	1479	M.musculus	1.0	P48381	100%
2996	1479	H.sapiens	1.0	Q9UDY8	100%	1479	M.musculus	1.0	Q2TBA3	100%
2997	1479	H.sapiens	1.0	Q9Y2X7	100%	1479	M.musculus	1.0	Q68FF6	100%
2998	1478	H.sapiens	1.0	Q6ZUM4	100%	1478	M.musculus	1.0	A2AB59	100%
2999	1478	H.sapiens	1.0	Q33E94	100%	1478	M.musculus	1.0	Q7TNK1	100%
3000	1478	H.sapiens	1.0	O75382	100%	1478	M.musculus	1.0	Q9R1R2	100%
3001	1478	H.sapiens	1.0	Q9Y446	100%	1478	M.musculus	1.0	Q9QY23	100%
3002	1477	H.sapiens	1.0	P07333	100%	1477	M.musculus	1.0	P09581	100%
3003	1477	H.sapiens	1.0	P20023	100%	1477	M.musculus	1.0	P19070	100%
3004	1477	H.sapiens	1.0	Q8TDI8	100%	1477	M.musculus	1.0	Q8R4P5	100%
3005	1476	H.sapiens	1.0	Q7Z7L7	100%	1476	M.musculus	1.0	Q80ZJ6	100%
3006	1475	H.sapiens	1.0	P06401	100%	1475	M.musculus	1.0	Q00175	100%
3007	1475	H.sapiens	1.0	P35711	100%	1475	M.musculus	1.0	P35710	100%
3008	1475	H.sapiens	1.0	Q15057	100%	1475	M.musculus	1.0	Q6ZQK5	100%
3009	1475	H.sapiens	1.0	Q6ZMZ3	100%	1475	M.musculus	1.0	Q4FZC9	100%
3010	1475	H.sapiens	1.0	Q3KR37	100%	1475	M.musculus	1.0	Q80TI0	100%
3011	1475	H.sapiens	1.0	Q9P2E5	100%	1475	M.musculus	1.0	Q3UU43	100%
3012	1473	H.sapiens	1.0	Q56UN5	100%	1473	M.musculus	1.0	E9Q3S4	100%
3013	1473	H.sapiens	1.0	P38935	100%	1473	M.musculus	1.0	P40694	100%
3014	1473	H.sapiens	1.0	Q8NB90	100%	1473	M.musculus	1.0	Q3UMC0	100%
3015	1473	H.sapiens	1.0	O75676	100%	1473	M.musculus	1.0	Q9Z2B9	100%
3016	1473	H.sapiens	1.0	Q9UID3	100%	1473	M.musculus	1.0	Q3UVL4	100%
3017	1472	H.sapiens	1.0	Q13099	100%	1472	M.musculus	1.0	Q61371	100%
3018	1472	H.sapiens	1.0	Q13206	100%	1472	M.musculus	1.0	Q80Y44	100%
3019	1472	H.sapiens	1.0	Q6ZTA4	100%	1472	M.musculus	1.0	Q505D9	100%
3020	1472	H.sapiens	1.0	Q9H3E2	100%	1472	M.musculus	1.0	Q3ZT31	100%
3021	1472	H.sapiens	1.0	Q9HC78	100%	1472	M.musculus	1.0	Q8K0L9	100%
3022	1471	H.sapiens	1.0	Q13443	100%	1471	M.musculus	1.0	Q61072	100%
3023	1470	H.sapiens	1.0	P27540	100%	1470	M.musculus	1.0	P53762	100%
3024	1470	H.sapiens	1.0	Q96LU7	100%	1470	M.musculus	1.0	Q3UN70	100%
3025	1470	H.sapiens	1.0	P13807	100%	1470	M.musculus	1.0	Q9Z1E4	100%
3026	1470	H.sapiens	1.0	Q9Y6X8	100%	1470	M.musculus	1.0	Q8C0C0	100%
3027	1469	H.sapiens	1.0	P06396	100%	1469	M.musculus	1.0	P13020	100%
3028	1469	H.sapiens	1.0	P14210	100%	1469	M.musculus	1.0	Q08048	100%
3029	1469	H.sapiens	1.0	P21580	100%	1469	M.musculus	1.0	Q60769	100%
3030	1469	H.sapiens	1.0	Q9P1Z3	100%	1469	M.musculus	1.0	O88705	100%
3031	1469	H.sapiens	1.0	Q9NR97	100%	1469	M.musculus	1.0	P58682	100%
3032	1469	H.sapiens	1.0	P49796	100%	1469	M.musculus	1.0	Q9DC04	100%
3033	1469	H.sapiens	1.0	Q9HBG4	100%	1469	M.musculus	1.0	Q920R6	100%
3034	1468	H.sapiens	1.0	P08047	100%	1468	M.musculus	1.0	O89090	100%
3035	1468	H.sapiens	1.0	O60308	100%	1468	M.musculus	1.0	Q80V31	100%
3036	1468	H.sapiens	1.0	Q86UP0	100%	1468	M.musculus	1.0	Q6PFX6	100%
3037	1468	H.sapiens	1.0	Q8NER1	100%	1468	M.musculus	1.0	Q704Y3	100%
3038	1468	H.sapiens	1.0	Q96GW7	100%	1468	M.musculus	1.0	Q61361	100%
3039	1468	H.sapiens	1.0	Q7Z3E2	100%	1468	M.musculus	1.0	Q8C9S4	100%
3040	1468	H.sapiens	1.0	Q8NEM8	100%	1468	M.musculus	1.0	Q8CDP0	100%
3041	1467	H.sapiens	1.0	Q9ULB4	100%	1467	M.musculus	1.0	P70407	100%
3042	1467	H.sapiens	1.0	Q9NXD2	100%	1467	M.musculus	1.0	Q7TPM9	100%
3043	1467	H.sapiens	1.0	Q9BYZ6	100%	1467	M.musculus	1.0	Q91V93	100%
3044	1466	H.sapiens	1.0	Q8TDI7	100%	1466	M.musculus	1.0	Q8R4P4	100%
3045	1465	H.sapiens	1.0	Q659A1	100%	1465	M.musculus	1.0	Q3UZ18	100%
3046	1465	H.sapiens	1.0	Q12788	100%	1465	M.musculus	1.0	Q8C4J7	100%
3047	1465	H.sapiens	1.0	Q9H7U1	100%	1465	M.musculus	1.0	Q3UHI0	100%
3048	1464	H.sapiens	1.0	Q16665	100%	1464	M.musculus	1.0	Q61221	100%
3049	1464	H.sapiens	1.0	Q96J84	100%	1464	M.musculus	1.0	Q80W68	100%
3050	1464	H.sapiens	1.0	Q9NQC1	100%	1464	M.musculus	1.0	Q6ZQF7	100%
3051	1464	H.sapiens	1.0	Q9NR64	100%	1464	M.musculus	1.0	Q9JI74	100%
3052	1464	H.sapiens	1.0	Q9Y334	100%	1464	M.musculus	1.0	Q9JHA8	100%
3053	1463	H.sapiens	1.0	P40189	100%	1463	M.musculus	1.0	Q00560	100%
3054	1463	H.sapiens	1.0	O43312	100%	1463	M.musculus	1.0	Q8R1S4	100%
3055	1463	H.sapiens	1.0	O15455	100%	1463	M.musculus	1.0	Q99MB1	100%
3056	1463	H.sapiens	1.0	Q8IWA0	100%	1463	M.musculus	1.0	Q3U821	100%
3057	1463	H.sapiens	1.0	O43196	100%	1463	M.musculus	1.0	Q9QUM7	100%
3058	1462	H.sapiens	1.0	P08473	100%	1462	M.musculus	1.0	Q61391	100%
3059	1462	H.sapiens	1.0	Q9HB75	100%	1462	M.musculus	1.0	Q9ERV7	100%
3060	1461	H.sapiens	1.0	Q1KMD3	100%	1461	M.musculus	1.0	Q00PI9	100%
3061	1461	H.sapiens	1.0	Q68EM7	100%	1461	M.musculus	1.0	Q3UIA2	100%
3062	1461	H.sapiens	1.0	Q15022	100%	1461	M.musculus	1.0	Q80U70	100%
3063	1461	H.sapiens	1.0	Q92786	100%	1461	M.musculus	1.0	P48437	100%
3064	1461	H.sapiens	1.0	Q68DC2	100%	1461	M.musculus	1.0	Q6GQX6	100%
3065	1461	H.sapiens	1.0	Q9UBY0	100%	1461	M.musculus	1.0	Q3ZAS0	100%
3066	1461	H.sapiens	1.0	Q9UGI0	100%	1461	M.musculus	1.0	Q7M760	100%
3067	1461	H.sapiens	1.0	Q8N5H7	100%	1461	M.musculus	1.0	Q9QZS8	100%
3068	1461	H.sapiens	1.0	Q9Y5F3	100%	1461	M.musculus	1.0	Q91Y08	100%
3069	1460	H.sapiens	1.0	Q9HCG8	100%	1460	M.musculus	1.0	Q8C5N3	100%
3070	1460	H.sapiens	1.0	Q14155	100%	1460	M.musculus	1.0	Q9ES28	100%
3071	1460	H.sapiens	1.0	Q9NZL6	100%	1460	M.musculus	1.0	Q60695	100%
3072	1459	H.sapiens	1.0	Q5T655	100%	1459	M.musculus	1.0	B2RW38	100%
3073	1459	H.sapiens	1.0	Q12967	100%	1459	M.musculus	1.0	Q03385	100%
3074	1459	H.sapiens	1.0	Q96DR7	100%	1459	M.musculus	1.0	D3YYY8	100%
3075	1459	H.sapiens	1.0	Q9H9E3	100%	1459	M.musculus	1.0	Q8R1U1	100%
3076	1458	H.sapiens	1.0	P13671	100%	1458	M.musculus	1.0	E9Q6D8	100%
3077	1458	H.sapiens	1.0	P12830	100%	1458	M.musculus	1.0	P09803	100%
3078	1458	H.sapiens	1.0	Q13444	100%	1458	M.musculus	1.0	O88839	100%
3079	1458	H.sapiens	1.0	Q6P995	100%	1458	M.musculus	1.0	Q14CH0	100%
3080	1458	H.sapiens	1.0	O14964	100%	1458	M.musculus	1.0	Q99LI8	100%
3081	1458	H.sapiens	1.0	Q08AM6	100%	1458	M.musculus	1.0	Q80WQ2	100%
3082	1458	H.sapiens	1.0	O43422	100%	1458	M.musculus	1.0	Q9CUX1	100%
3083	1458	H.sapiens	1.0	Q7Z2D5	100%	1458	M.musculus	1.0	Q7TME0	100%
3084	1458	H.sapiens	1.0	Q9P244	100%	1458	M.musculus	1.0	Q2WF71	100%
3085	1458	H.sapiens	1.0	Q14526	100%	1458	M.musculus	1.0	Q9R1Y5	100%
3086	1458	H.sapiens	1.0	Q9UPW6	100%	1458	M.musculus	1.0	Q8VI24	100%
3087	1457	H.sapiens	1.0	P27448	100%	1457	M.musculus	1.0	Q03141	100%
3088	1457	H.sapiens	1.0	Q5XX13	100%	1457	M.musculus	1.0	Q5SUS0	100%
3089	1456	H.sapiens	1.0	P01130	100%	1456	M.musculus	1.0	P35951	100%
3090	1456	H.sapiens	1.0	P25067	100%	1456	M.musculus	1.0	P25318	100%
3091	1456	H.sapiens	1.0	P05129	100%	1456	M.musculus	1.0	P63318	100%
3092	1456	H.sapiens	1.0	P22455	100%	1456	M.musculus	1.0	Q03142	100%
3093	1456	H.sapiens	1.0	Q496J9	100%	1456	M.musculus	1.0	Q69ZS6	100%
3094	1456	H.sapiens	1.0	Q8IWQ3	100%	1456	M.musculus	1.0	Q69Z98	100%
3095	1456	H.sapiens	1.0	Q13617	100%	1456	M.musculus	1.0	Q9D4H8	100%
3096	1455	H.sapiens	1.0	O95786	100%	1455	M.musculus	1.0	Q6Q899	100%
3097	1455	H.sapiens	1.0	O75175	100%	1455	M.musculus	1.0	Q8K0V4	100%
3098	1455	H.sapiens	1.0	Q6MZW2	100%	1455	M.musculus	1.0	Q5STE3	100%
3099	1455	H.sapiens	1.0	Q92997	100%	1455	M.musculus	1.0	Q61062	100%
3100	1455	H.sapiens	1.0	Q9C0D3	100%	1455	M.musculus	1.0	Q3UFS0	100%
3101	1455	H.sapiens	1.0	P41226	100%	1455	M.musculus	1.0	Q9DBK7	100%
