H.sapiens,P.troglodytes,Chaperone_client,dN,dS,dN/dS,Protein-protein_interaction_(PPI),Protein_abundance,Codon_adaptation_index_(CAI),Aggregation_propensity
ENSG00000166326,TRIM44,Non-client,0,0.015,0,52,0.516,0.5255448,114.085
ENSG00000087074,PPP1R15A,Client,0.0108,0.007,1.542857143,28,0.516,0.5205073,804.492
ENSG00000198551,ZNF627,Non-client,0.0029,0.0086,0.337209302,7,0.517,0.6377021,478.022
ENSG00000179913,B3GNT3,Non-client,0.0023,0.0299,0.076923077,22,0.517,0.3799841,3504.52
ENSG00000109436,TBC1D9,Non-client,0,0.0122,0,19,0.517,0.5083454,9347.94
ENSG00000054277,OPN3,Non-client,0.0011,0.0126,0.087301587,4,0.517,0.4683857,9839.4
ENSG00000183128,CALHM3,Non-client,0.0036,0.0256,0.140625,,0.519,0.3778757,4189.43
ENSG00000197880,LOC100615929,Non-client,0.0209,0.0157,1.331210191,,0.52,0.5740004,199.232
ENSG00000178184,PARD6G,Non-client,0.0011,0.0136,0.080882353,18,0.52,0.332984,364.868
ENSG00000189007,ADAT2,Non-client,0.002,0.0114,0.175438597,3,0.52,0.5897389,678.217
ENSG00000101412,E2F1,Non-client,0.0039,0.007,0.557142857,111,0.52,0.3773847,999.656
ENSG00000101052,IFT52,Non-client,0,0.0128,0,24,0.52,0.5965638,1515.77
ENSG00000101190,TCFL5,Non-client,0.0054,0.0106,0.509433962,1,0.521,0.4219945,240.209
ENSG00000023445,BIRC3,Non-client,0.0045,0.0216,0.208333333,79,0.521,0.7001398,973.625
ENSG00000086232,EIF2AK1,Client,0.0052,0.0114,0.456140351,15,0.521,0.5926372,1126.18
ENSG00000143919,CAMKMT,Client,0.0015,0.0069,0.217391304,28,0.521,0.5659419,1159.23
ENSG00000198104,OR2T6,Non-client,0.0089,0.0125,0.712,1,0.521,0.4792805,7292.54
ENSG00000167791,CABP2,Non-client,0.0019,0.0187,0.101604278,2,0.522,0.3898346,28.238
ENSG00000189227,C15H15orf61,Non-client,0,0.0105,0,1,0.522,0.3658621,793.621
ENSG00000117560,FASLG,Non-client,0.0017,0.0079,0.215189873,82,0.522,0.5266998,2829.02
ENSG00000188340,OR6N2,Non-client,0.0078,0.0033,2.363636364,,0.522,0.5762079,6461.18
ENSG00000103227,LMF1,Non-client,0.0057,0.05,0.114,18,0.522,0.3600074,7899.48
ENSG00000138083,SIX3,Non-client,0.0012,0.0208,0.057692308,5,0.523,0.3094342,158.713
ENSG00000222028,PSMB11,Non-client,0.0032,0.0038,0.842105263,,0.523,0.4688831,426.663
ENSG00000135587,SMPD2,Non-client,0.0055,0.0115,0.47826087,21,0.523,0.4978146,4642.85
ENSG00000161610,HCRT,Non-client,0,0.0239,0,,0.524,0.3076258,1144.69
ENSG00000143207,COP1,Client,0.0196,0.0363,0.539944904,92,0.524,0.5737762,1476.05
ENSG00000174013,FBXO45,Non-client,0,0.0139,0,22,0.524,0.4808378,1793.61
ENSG00000172339,ALG14,Non-client,0.0107,0.029,0.368965517,2,0.525,0.5360045,3801.75
ENSG00000197599,CCDC154,Non-client,0.0126,0.0921,0.136807818,3,0.526,0.4053187,112.337
ENSG00000165424,ZCCHC24,Non-client,0,0.0496,0,1,0.526,0.3705177,575.525
ENSG00000176903,PNMA1,Non-client,0,0.0033,0,124,0.526,0.4989978,700.301
ENSG00000198720,ANKRD13B,Non-client,0.0013,0.0091,0.142857143,8,0.527,0.3778215,685.591
ENSG00000107807,TLX1,Non-client,0.0025,0.0267,0.093632959,4,0.528,0.3504941,36.906
ENSG00000178395,CCDC185,Non-client,0.0074,0.0194,0.381443299,12,0.529,0.4005676,606.472
ENSG00000139133,ALG10,Non-client,0.0051,0.0184,0.277173913,22,0.529,0.6529246,14800.8
ENSG00000172508,CARNS1,Non-client,0.0024,0.0212,0.113207547,1,0.53,0.403746,4643.14
ENSG00000156103,MMP16,Non-client,0,0.0098,0,,0.53,0.6076268,4866.38
ENSG00000180773,SLC36A4,Non-client,0.0009,0.0082,0.109756098,,0.53,0.6687045,11773.7
ENSG00000188613,NANOS1,Non-client,0.0026,0.0192,0.135416667,3,0.531,0.2440977,614.025
ENSG00000121807,CCR2,Non-client,0.0832,0.1405,0.592170819,1,0.531,0.5511889,8336.95
ENSG00000213199,ASIC3,Non-client,0.0023,0.0149,0.154362416,7,0.532,0.384402,3020.29
ENSG00000183018,SPNS2,Non-client,0.013,0.0325,0.4,,0.532,0.354725,11130.3
ENSG00000054179,ENTPD2,Non-client,0.0035,0.0124,0.282258065,1,0.533,0.4000196,5111.57
ENSG00000196944,OR2T4,Non-client,0.0158,0.0147,1.074829932,,0.533,0.4889762,9193.38
ENSG00000119508,NR4A3,Non-client,0.0022,0.0154,0.142857143,4,0.534,0.4327844,1569.97
ENSG00000166589,CDH16,Client,0.0082,0.0229,0.358078603,2,0.534,0.4750245,6245.37
ENSG00000186017,ZNF566,Non-client,0.0032,0.0221,0.14479638,4,0.535,0.6965909,63.1946
ENSG00000176845,METRNL,Non-client,0.0079,0.0118,0.669491525,3,0.536,0.3290977,1152.52
ENSG00000185379,RAD51D,Non-client,0.0028,0.0123,0.227642276,34,0.536,0.5328953,1890.25
ENSG00000006611,USH1C,Non-client,0.0221,0.0433,0.51039261,21,0.536,0.4803565,2476.78
ENSG00000198795,ZNF521,Non-client,0.0004,0.0106,0.037735849,10,0.536,0.5453155,3205.12
ENSG00000145103,ILDR1,Non-client,0.0016,0.0109,0.146788991,4,0.536,0.4389739,4198.3
ENSG00000104888,SLC17A7,Non-client,0.0007,0.0061,0.114754098,,0.536,0.3741545,10246.2
ENSG00000119686,FLVCR2,Non-client,0.0017,0.0079,0.215189873,3,0.536,0.4690275,11930.9
ENSG00000165084,C8H8orf34,Non-client,0.0034,0.0071,0.478873239,6,0.537,0.5966904,32.6296
ENSG00000164056,SPRY1,Client,0.0015,0.0072,0.208333333,37,0.537,0.5907408,263.576
ENSG00000149761,NUDT22,Non-client,0.0059,0.0131,0.450381679,2,0.537,0.431845,911.115
ENSG00000173335,CST9,Non-client,0.0144,0.0079,1.82278481,5,0.537,0.524383,1618.05
ENSG00000115008,IL1A,Non-client,0,0.0041,0,5,0.537,0.5964692,1667.74
ENSG00000129951,PLPPR3,Non-client,0.0016,0.0182,0.087912088,,0.537,0.2911699,6547.56
ENSG00000120162,MOB3B,Non-client,0,0.0065,0,7,0.538,0.4680485,1498.79
ENSG00000174514,MFSD4A,Non-client,0.0017,0.0142,0.11971831,,0.539,0.4287695,13591.2
ENSG00000168811,IL12A,Non-client,0.0018,0.0152,0.118421053,6,0.54,0.5536263,1243.6
ENSG00000131094,C1QL1,Non-client,0.0015,0.0089,0.168539326,19,0.54,0.3380298,1687.84
ENSG00000120662,MTRF1,Non-client,0,0.0025,0,2,0.541,0.6443654,565.602
ENSG00000196843,ARID5A,Non-client,0.003,0.0127,0.236220472,20,0.541,0.4047628,585.797
ENSG00000170681,CAVIN4,Non-client,0.0065,0.0094,0.691489362,,0.541,0.5916737,914.064
ENSG00000186431,FCAR,Non-client,0.0125,0.0282,0.443262411,5,0.541,0.5077353,2904.17
ENSG00000133243,BTBD2,Non-client,0,0.0782,0,35,0.541,0.326679,4068.82
ENSG00000164151,ICE1,Non-client,0.0045,0.0122,0.368852459,19,0.541,0.6666901,4855.51
ENSG00000010030,ETV7,Non-client,0.0038,0.0168,0.226190476,6,0.542,0.4400667,198.583
ENSG00000100344,PNPLA3,Non-client,0.0075,0.0273,0.274725275,4,0.542,0.4429275,1361.47
ENSG00000183111,ARHGEF37,Non-client,0.0054,0.0231,0.233766234,1,0.542,0.4793407,2245.02
ENSG00000158481,CD1C,Non-client,0.0091,0.0229,0.397379913,,0.542,0.5783835,5757.39
ENSG00000128573,FOXP2,Client,0.0013,0.0197,0.065989848,28,0.543,0.664628,553.323
ENSG00000170485,NPAS2,Client,0.0016,0.0065,0.246153846,26,0.543,0.4906747,2431.21
ENSG00000151014,NOCT,Non-client,0.0023,0.0123,0.18699187,,0.544,0.4969457,614.864
ENSG00000105376,ICAM5,Non-client,0.001,0.0195,0.051282051,14,0.544,0.3533587,3721.71
ENSG00000214456,PLIN5,Non-client,0.0109,0.0539,0.202226345,6,0.545,0.3868625,161.106
ENSG00000167535,CACNB3,Non-client,0.0018,0.0028,0.642857143,10,0.545,0.4404328,999.459
ENSG00000144026,ZNF514,Non-client,0.0061,0.0116,0.525862069,1,0.546,0.633279,629.598
ENSG00000112425,EPM2A,Non-client,0.0013,0.0227,0.057268723,23,0.546,0.4404587,1366.89
ENSG00000179520,SLC17A8,Non-client,0.0032,0.0267,0.119850187,,0.546,0.6009404,9456.41
ENSG00000166454,ATMIN,Non-client,0.005,0.0093,0.537634409,6,0.547,0.5578211,330.325
ENSG00000160219,GAB3,Non-client,0.0007,0.0065,0.107692308,6,0.547,0.535739,1002.28
ENSG00000115257,PCSK4,Non-client,0.0035,0.0431,0.081206497,1,0.547,0.3432976,3413.14
ENSG00000169964,TMEM42,Non-client,0,0.0088,0,,0.547,0.3960068,3895.83
ENSG00000138613,APH1B,Non-client,0,0.0252,0,4,0.547,0.5212186,9757.88
ENSG00000181617,FDCSP,Non-client,0.0053,0.0152,0.348684211,,0.548,0.6818237,1291.43
ENSG00000174914,LOC466576,Non-client,0.0173,0.0537,0.322160149,,0.548,0.5052823,7979.32
ENSG00000114737,CISH,Non-client,0.0163,0.0357,0.456582633,24,0.549,0.4398698,458.772
ENSG00000165675,ENOX2,Non-client,0.0076,0.0199,0.381909548,12,0.549,0.6160324,2413.4
ENSG00000157734,SNX22,Non-client,0.0021,0.009,0.233333333,8,0.55,0.3964424,466.693
ENSG00000102924,CBLN1,Non-client,0,0.0371,0,,0.55,0.3846274,1155.41
ENSG00000198039,ZNF273,Non-client,0.0038,0.0107,0.355140187,8,0.55,0.7156179,1356.12
ENSG00000080561,MID2,Non-client,0,0.0064,0,133,0.55,0.5585267,1365.83
ENSG00000155269,GPR78,Non-client,0.007,0.022,0.318181818,1,0.55,0.3310496,3958.36
ENSG00000102076,OPN1LW,Non-client,0.0172,0.0461,0.373101952,1,0.55,0.4288685,9751.22
ENSG00000171954,CYP4F22,Non-client,0.0042,0.0181,0.232044199,,0.551,0.4131105,4673.35
ENSG00000196152,ZNF79,Non-client,0.0063,0.0081,0.777777778,3,0.552,0.5279301,838.127
ENSG00000125538,IL1B,Non-client,0.0035,0.0044,0.795454546,12,0.552,0.5440251,1171.09
ENSG00000149489,ROM1,Non-client,0.004,0.0066,0.606060606,2,0.553,0.4559251,4190.7
ENSG00000108684,ASIC2,Non-client,0.0022,0.0209,0.105263158,3,0.554,0.4011456,2758.24
ENSG00000165841,CYP2C19,Non-client,0.0057,0.0267,0.213483146,2,0.554,0.567246,4733.77
ENSG00000171772,SYCE1,Client,0.0085,0.0125,0.68,30,0.555,0.5325746,24.3174
ENSG00000018869,ZNF582,Non-client,0.0022,0.0175,0.125714286,1,0.556,0.6698622,908.633
ENSG00000144130,NT5DC4,Non-client,0.0918,0.1675,0.548059702,1,0.556,0.4448501,2640.02
ENSG00000050344,NFE2L3,Non-client,0.0086,0.0136,0.632352941,14,0.557,0.5603012,448.695
ENSG00000188747,NOXA1,Non-client,0.0027,0.0206,0.131067961,13,0.557,0.4014265,1636.1
ENSG00000104689,TNFRSF10A,Non-client,0.0082,0.0071,1.154929578,47,0.557,0.5104225,3150.83
ENSG00000099139,PCSK5,Non-client,0.006,0.0181,0.331491713,26,0.557,0.5111255,5041.72
ENSG00000187664,HAPLN4,Non-client,0.0022,0.0286,0.076923077,,0.558,0.3295353,1480.17
ENSG00000119333,WDR34,Client,0.007,0.0227,0.308370044,35,0.558,0.4131839,1600.02
ENSG00000163239,TDRD10,Non-client,0.0051,0.0121,0.421487603,,0.558,0.5196017,2585.2
ENSG00000182447,OTOL1,Non-client,0.001,0.0051,0.196078431,,0.558,0.611143,2741.35
ENSG00000165392,WRN,Non-client,0.0077,0.0078,0.987179487,44,0.559,0.686045,2811.17
ENSG00000170500,LONRF2,Client,0.0031,0.0147,0.210884354,10,0.559,0.4495272,3197.58
ENSG00000115084,SLC35F5,Non-client,0.0128,0.0357,0.358543417,9,0.559,0.6976603,13439.8
ENSG00000198538,ZNF28,Non-client,0.0081,0.0228,0.355263158,2,0.56,0.6761043,33.1672
ENSG00000163428,LRRC58,Non-client,0.0012,0.017,0.070588235,6,0.56,0.4725233,226.449
ENSG00000105371,ICAM4,Non-client,0.4034,0.5286,0.763147938,5,0.56,0.3982509,714.224
ENSG00000145721,LIX1,Non-client,0.0034,0.0234,0.145299145,2,0.56,0.5529472,1054.38
ENSG00000198944,SOWAHA,Non-client,0.0049,0.0173,0.283236994,22,0.56,0.3177596,1320.25
ENSG00000066248,NGEF,Non-client,0.003,0.0207,0.144927536,17,0.56,0.4299403,2012.88
ENSG00000203933,CXHXorf66,Non-client,0.0109,0.0209,0.521531101,,0.56,0.6673681,3201.92
ENSG00000151388,ADAMTS12,Non-client,0.0037,0.0108,0.342592593,11,0.56,0.5380813,3866.13
ENSG00000117834,SLC5A9,Non-client,0.0018,0.023,0.07826087,,0.56,0.4510788,16568.9
ENSG00000173389,IQCF1,Non-client,0.0091,0.0175,0.52,46,0.562,0.488734,318.905
ENSG00000183475,ASB7,Client,0,0.0035,0,44,0.563,0.5602467,494.212
ENSG00000104432,IL7,Non-client,0,0.0073,0,2,0.563,0.7166925,604.855
ENSG00000183798,EMILIN3,Non-client,0.0042,0.0131,0.320610687,12,0.563,0.4247568,1286.49
ENSG00000167874,TMEM88,Non-client,0.0028,0.0061,0.459016393,,0.563,0.3783259,2971.32
ENSG00000182158,CREB3L2,Non-client,0.0044,0.024,0.183333333,13,0.564,0.4840799,1949.15
ENSG00000156564,LRFN2,Non-client,0.0032,0.0317,0.100946372,1,0.564,0.3892888,3155.34
ENSG00000151005,TKTL2,Non-client,0.0031,0.0053,0.58490566,14,0.564,0.5741391,4011.02
ENSG00000118762,PKD2,Non-client,0.0014,0.0098,0.142857143,31,0.564,0.4929339,11334.9
ENSG00000167972,ABCA3,Non-client,0.0017,0.034,0.05,25,0.564,0.4054116,20614.9
ENSG00000185730,ZNF696,Non-client,0.0075,0.0169,0.443786982,16,0.565,0.3233847,18.5817
ENSG00000124882,EREG,Non-client,0.0028,0.0203,0.137931035,5,0.565,0.5934159,3243.65
ENSG00000151835,SACS,Non-client,0.001,0.01,0.1,14,0.565,0.6983355,14191.8
ENSG00000187135,VSTM2B,Non-client,0.0045,0.0217,0.207373272,,0.566,0.3369945,1668.54
ENSG00000110881,ASIC1,Non-client,0.0008,0.0253,0.031620553,12,0.567,0.4344649,2745.58
ENSG00000173198,CYSLTR1,Non-client,0.0028,0.0177,0.15819209,1,0.567,0.6435726,9271.34
ENSG00000183688,RFLNB,Non-client,0.0094,0.0285,0.329824561,,0.568,0.3279395,184.825
ENSG00000139193,CD27,Non-client,0.0022,0.0193,0.113989637,31,0.568,0.4810808,2552.51
ENSG00000176624,MEX3C,Non-client,0.0015,0.0063,0.238095238,51,0.569,0.4486588,1067.48
ENSG00000138593,SECISBP2L,Non-client,0.0004,0.0063,0.063492064,7,0.569,0.6901406,2232.28
ENSG00000165572,KBTBD6,Non-client,0,0.0086,0,43,0.569,0.5121766,2417.01
ENSG00000095015,MAP3K1,Client,0.001,0.008,0.125,132,0.569,0.5964888,2576.23
ENSG00000113732,ATP6V0E1,Non-client,0,0.0141,0,10,0.569,0.5306743,3079.43
ENSG00000137474,MYO7A,Non-client,0.0303,0.067,0.452238806,13,0.569,0.4023904,12611.1
ENSG00000114013,CD86,Non-client,0.0028,0.0036,0.777777778,6,0.57,0.6295502,2942.85
ENSG00000165389,SPTSSA,Non-client,0,0.0232,0,4,0.57,0.3599605,3156.4
ENSG00000164744,SUN3,Non-client,0.0026,0.0135,0.192592593,,0.57,0.643356,3271.39
ENSG00000177363,LRRN4CL,Non-client,0.0076,0.0107,0.710280374,1,0.57,0.355613,3822.23
ENSG00000111269,CREBL2,Non-client,0,0.0097,0,2,0.571,0.6078861,21.3407
ENSG00000111554,MDM1,Non-client,0.0043,0.0095,0.452631579,4,0.571,0.6911887,80.3714
ENSG00000008086,CDKL5,Non-client,0.0023,0.0066,0.348484849,17,0.572,0.5839253,1188.2
ENSG00000171798,KNDC1,Non-client,0.0039,0.0406,0.096059113,3,0.572,0.3943385,3970.54
ENSG00000138449,SLC40A1,Non-client,0,0.0058,0,,0.572,0.6135241,13469
ENSG00000176463,SLCO3A1,Non-client,0.0006,0.0185,0.032432432,1,0.572,0.4109786,16086.6
ENSG00000118985,ELL2,Non-client,0.0015,0.0052,0.288461539,24,0.573,0.5933167,966.427
ENSG00000134107,BHLHE40,Non-client,0,0.0139,0,56,0.574,0.4713501,163.789
ENSG00000163590,PPM1L,Non-client,0,0.0196,0,4,0.574,0.4991004,2868.73
ENSG00000099326,MZF1,Non-client,0.0046,0.0119,0.386554622,8,0.575,0.3781271,19.2437
ENSG00000188761,BCL2L15,Non-client,0.0058,0.0069,0.84057971,5,0.575,0.5952813,1026.76
ENSG00000140025,EFCAB11,Non-client,0,0.043,0,3,0.576,0.5844229,1031.28
ENSG00000179627,ZBTB42,Non-client,0.003,0.0074,0.405405405,10,0.576,0.3729017,1365.83
ENSG00000115526,CHST10,Non-client,0.0053,0.0064,0.828125,19,0.576,0.5033091,3607.4
ENSG00000147255,IGSF1,Non-client,0.0028,0.0071,0.394366197,13,0.576,0.5411926,9279.36
ENSG00000120094,HOXB1,Non-client,0.0031,0.0082,0.378048781,5,0.578,0.42356,1.05449
ENSG00000181896,ZNF101,Non-client,0.0039,0.0176,0.221590909,14,0.578,0.6301268,44.6695
ENSG00000147804,SLC39A4,Non-client,0.0053,0.0217,0.244239631,101,0.578,0.3862618,9954.92
ENSG00000124227,ANKRD60,Non-client,0.0065,0.0038,1.710526316,,0.579,0.390978,1753.11
ENSG00000155890,TRIM42,Non-client,0.0283,0.0605,0.467768595,64,0.579,0.4649577,1789.75
ENSG00000186684,LOC470525,Non-client,0.0009,0.017,0.052941177,1,0.579,0.4717552,2557.33
ENSG00000083635,NUFIP1,Non-client,0.0048,0.0113,0.424778761,106,0.58,0.6026135,243.222
ENSG00000066336,SPI1,Non-client,0,0.0086,0,39,0.58,0.3688047,487.242
ENSG00000183379,SYNDIG1L,Non-client,0,0.0125,0,,0.58,0.4400572,2514.8
ENSG00000077616,NAALAD2,Non-client,0.0012,0.0123,0.097560976,4,0.58,0.6823543,3923.5
ENSG00000186480,INSIG1,Non-client,0.0043,0.0035,1.228571429,20,0.58,0.4661354,5753.34
ENSG00000117013,KCNQ4,Client,0.0006,0.0114,0.052631579,6,0.58,0.3466504,9875
ENSG00000140795,MYLK3,Client,0.0034,0.013,0.261538462,6,0.581,0.4838029,2116.19
ENSG00000054356,PTPRN,Client,0.0029,0.0168,0.172619048,85,0.581,0.4472298,4090.07
ENSG00000110076,NRXN2,Non-client,0.0007,0.0103,0.067961165,5,0.581,0.3616743,7627.9
ENSG00000165516,KLHDC2,Client,0,0.0096,0,48,0.582,0.6812627,2093.25
ENSG00000133740,E2F5,Non-client,0,0.0033,0,10,0.583,0.5802004,430.336
ENSG00000164236,ANKRD33B,Non-client,0.0008,0.0439,0.018223235,1,0.583,0.3135482,1214.29
ENSG00000162804,SNED1,Non-client,0.0328,0.0925,0.354594595,,0.583,0.397342,4555.54
ENSG00000204682,CASC10,Non-client,0.0035,0.0083,0.421686747,1,0.584,0.3179733,0
ENSG00000158863,FAM160B2,Non-client,0.004,0.0104,0.384615385,7,0.584,0.4321554,3410.86
ENSG00000180806,HOXC9,Non-client,0,0.008,0,22,0.586,0.31655,555.071
ENSG00000148399,DPH7,Non-client,0.0837,0.1907,0.438909282,11,0.586,0.4618511,1189.47
ENSG00000168004,HRASLS5,Non-client,0.0118,0.0126,0.936507937,6,0.587,0.493207,907.847
ENSG00000122687,MRM2,Non-client,0.0076,0.0096,0.791666667,,0.587,0.4924826,1331.03
ENSG00000198246,SLC29A3,Non-client,0.0036,0.0544,0.066176471,,0.587,0.4152719,9885.05
ENSG00000124440,HIF3A,Client,0.0048,0.0203,0.236453202,3,0.588,0.4221487,1892.24
ENSG00000198911,SREBF2,Client,0.0032,0.0119,0.268907563,69,0.588,0.4661533,4817.28
ENSG00000143032,BARHL2,Non-client,0.0023,0.014,0.164285714,1,0.589,0.3984437,39.5983
ENSG00000127220,ABHD8,Non-client,0.001,0.0208,0.048076923,1,0.589,0.3875386,2536.14
ENSG00000021461,CYP3A43,Non-client,0.0048,0.0174,0.275862069,,0.589,0.6412518,3703.16
ENSG00000120318,ARAP3,Non-client,0.0021,0.0133,0.157894737,5,0.589,0.4597264,4019.33
ENSG00000106004,HOXA5,Non-client,0.003,0.007,0.428571429,18,0.59,0.3599977,16.514
ENSG00000187391,MAGI2,Non-client,0.0003,0.0086,0.034883721,10,0.59,0.5030465,3591.98
ENSG00000162928,PEX13,Non-client,0,0.0065,0,10,0.591,0.6603181,1411.28
ENSG00000184709,LRRC26,Non-client,0.0038,0.0383,0.09921671,,0.592,0.271561,1817.11
ENSG00000131653,TRAF7,Non-client,0.0006,0.0223,0.02690583,46,0.592,0.3854777,3205.92
ENSG00000120685,PROSER1,Non-client,0.0036,0.0162,0.222222222,3,0.593,0.6568067,558.039
ENSG00000176971,FIBIN,Non-client,0,0.0081,0,,0.593,0.4198379,781.007
ENSG00000147231,CXHXorf57,Client,0,0.0058,0,10,0.593,0.6355939,3060.62
ENSG00000127334,DYRK2,Client,0,0.0103,0,58,0.595,0.4842057,377.714
ENSG00000145743,FBXL17,Non-client,0.0149,0.0213,0.699530516,24,0.595,0.450993,2310.36
ENSG00000136099,PCDH8,Non-client,0.0012,0.0135,0.088888889,2,0.595,0.3349149,5491.29
ENSG00000148482,SLC39A12,Non-client,0.0042,0.0109,0.385321101,70,0.595,0.6095549,11741.5
ENSG00000189132,FAM47B,Non-client,0.0227,0.0151,1.503311258,1,0.596,0.4768585,749.462
ENSG00000204610,TRIM15,Non-client,0.0045,0.0176,0.255681818,40,0.596,0.4202242,1689.5
ENSG00000172000,ZNF556,Non-client,0.0072,0.013,0.553846154,11,0.597,0.584177,14.2291
ENSG00000146005,PSD2,Non-client,0.0017,0.0059,0.288135593,2,0.597,0.4345853,1127.21
ENSG00000155966,AFF2,Non-client,0.0031,0.0061,0.508196721,,0.597,0.58756,2111.89
ENSG00000221944,TIGD1,Non-client,0.0031,0.0238,0.130252101,3,0.597,0.654721,2119.64
ENSG00000101680,LAMA1,Client,0.0045,0.013,0.346153846,28,0.597,0.5395711,8735.82
ENSG00000231256,CFAP97D1,Non-client,0.0029,0.0207,0.140096618,5,0.598,0.5551169,1.57261
ENSG00000136379,ABHD17C,Non-client,0,0.03,0,,0.598,0.3477368,437.504
ENSG00000007545,CRAMP1,Non-client,0.0043,0.0165,0.260606061,,0.6,0.4184196,634.231
ENSG00000158764,ITLN2,Non-client,0.0071,0.023,0.308695652,3,0.6,0.5025474,2039.81
ENSG00000100095,SEZ6L,Non-client,0.0031,0.0153,0.202614379,,0.6,0.43121,4247.41
ENSG00000107036,RIC1,Non-client,0.001,0.0067,0.149253731,,0.6,0.6209381,9971.39
ENSG00000140675,SLC5A2,Non-client,0.0031,0.0064,0.484375,1,0.6,0.3788945,14492
ENSG00000120278,PLEKHG1,Non-client,0.0037,0.0088,0.420454546,15,0.601,0.5436817,1304.29
ENSG00000088766,CRLS1,Non-client,0,0.0138,0,2,0.601,0.521808,5044.11
ENSG00000148704,VAX1,Non-client,0.0013,0.0136,0.095588235,,0.602,0.3219823,1.2214
ENSG00000185619,PCGF3,Client,0,0.0473,0,38,0.602,0.4251306,266.146
ENSG00000197380,DACT3,Non-client,0.0014,0.0101,0.138613861,6,0.603,0.2882427,85.6882
ENSG00000154240,CEP112,Non-client,0.001,0.0114,0.087719298,2,0.604,0.6851038,44.8203
ENSG00000141441,GAREM1,Non-client,0.0022,0.0146,0.150684932,,0.604,0.5141333,1057.84
ENSG00000160271,RALGDS,Non-client,0.0014,0.0295,0.047457627,22,0.604,0.4158775,2179.68
ENSG00000126970,ZC4H2,Non-client,0,0.019,0,13,0.605,0.5448238,0
ENSG00000065600,TMEM206,Non-client,0.0064,0.0139,0.460431655,95,0.605,0.4934996,3891.25
ENSG00000142959,BEST4,Non-client,0,0.0166,0,,0.605,0.3802286,5645.59
ENSG00000171017,LRRC8E,Non-client,0.0021,0.0225,0.093333333,18,0.605,0.401148,8601.59
ENSG00000168010,ATG16L2,Non-client,0.002,0.0156,0.128205128,4,0.606,0.4069068,444.858
ENSG00000126368,NR1D1,Non-client,0,0.0075,0,9,0.606,0.4179758,2468.71
ENSG00000118515,SGK1,Client,0.0028,0.0256,0.109375,58,0.607,0.5482404,2411.36
ENSG00000166257,SCN3B,Non-client,0,0.0295,0,67,0.607,0.4386545,2768.03
ENSG00000148468,FAM171A1,Non-client,0.001,0.0123,0.081300813,6,0.607,0.4674316,3573.24
ENSG00000171877,FRMD5,Client,0,0.004,0,20,0.607,0.5256026,4937.58
ENSG00000044524,EPHA3,Non-client,0.0014,0.0155,0.090322581,28,0.607,0.5837224,5681.18
ENSG00000165553,NGB,Non-client,0,0.0099,0,14,0.608,0.4112237,774.929
ENSG00000135835,KIAA1614,Non-client,0.0094,0.0193,0.487046632,,0.608,0.4390112,1012.62
ENSG00000117318,ID3,Non-client,0.0037,0.0118,0.313559322,31,0.609,0.3746239,20.7321
ENSG00000167208,SNX20,Client,0.0105,0.028,0.375,16,0.609,0.3629994,1828.37
ENSG00000063015,SEZ6,Non-client,0.0297,0.0471,0.630573248,1,0.609,0.4643319,3485.56
ENSG00000165995,CACNB2,Non-client,0.0007,0.0122,0.057377049,2,0.61,0.5343124,1042.91
ENSG00000050438,SLC4A8,Non-client,0.0009,0.0048,0.1875,30,0.61,0.5731149,16511.2
ENSG00000256453,DND1,Client,0.0012,0.0083,0.144578313,10,0.611,0.3906881,1163.79
ENSG00000136828,RALGPS1,Non-client,0.0028,0.0053,0.528301887,5,0.611,0.529791,2813.21
ENSG00000130881,LRP3,Non-client,0.0032,0.0331,0.096676737,1,0.611,0.3579632,3090.1
ENSG00000168944,CEP120,Non-client,0.0013,0.0098,0.132653061,95,0.611,0.6845637,3637.94
ENSG00000155367,PPM1J,Client,0.0027,0.0024,1.125,14,0.612,0.4163621,1753.89
ENSG00000102870,ZNF629,Non-client,0.004,0.0054,0.740740741,12,0.613,0.3811613,445.058
ENSG00000256043,CTSO,Non-client,0.0014,0.0166,0.084337349,5,0.613,0.5968807,1966.93
ENSG00000178297,TMPRSS9,Non-client,0.0059,0.0395,0.149367089,,0.613,0.3857263,5266.3
ENSG00000197706,OR6C74,Non-client,0.0063,0.0102,0.617647059,,0.613,0.6274273,8863.17
ENSG00000135472,FAIM2,Non-client,0,0.0128,0,3,0.613,0.4684284,10625.9
ENSG00000164600,NEUROD6,Non-client,0,0.0069,0,,0.614,0.5659492,590.546
ENSG00000157837,SPPL3,Non-client,0.0118,0.0268,0.440298508,17,0.615,0.5117225,9287.85
ENSG00000163879,DNALI1,Non-client,0,0.0194,0,16,0.617,0.4788442,244.85
ENSG00000102996,MMP15,Non-client,0.0019,0.0283,0.067137809,1,0.617,0.3576594,3677.74
ENSG00000073150,PANX2,Non-client,0.0016,0.0352,0.045454546,,0.618,0.2982466,5184.76
ENSG00000174456,C12H12orf76,Non-client,0.03,0.0569,0.527240773,,0.619,0.6189084,48.7245
ENSG00000087157,PGS1,Non-client,0.0409,0.1041,0.392891451,,0.619,0.4329127,1243.18
ENSG00000165506,DNAAF2,Non-client,0.0048,0.0141,0.340425532,81,0.619,0.4326231,1550.97
ENSG00000198092,TMPRSS11F,Non-client,0.0091,0.0157,0.579617834,,0.62,0.7165297,4340.67
