Entry	Entry name	Protein names	Gene names	Organism	Length	yourlist:M20201112E5A08BB0B2D1C45B0C7BC3B55FD2655603D8DDF	isomap:M20201112E5A08BB0B2D1C45B0C7BC3B55FD2655603D8DDF
Q9NUM3	S39A9_HUMAN	Zinc transporter ZIP9 (Solute carrier family 39 member 9) (Zrt- and Irt-like protein 9) (ZIP-9)	SLC39A9 ZIP9 UNQ714/PRO1377	Homo sapiens (Human)	307	ENSG00000029364	ENSG00000029364 -> Q9NUM3-1;Q9NUM3-2;Q9NUM3-3
Q9Y6J9	TAF6L_HUMAN	TAF6-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 6L (TAF6L) (PCAF-associated factor 65-alpha) (PAF65-alpha)	TAF6L PAF65A	Homo sapiens (Human)	622	ENSG00000162227	
P24588	AKAP5_HUMAN	A-kinase anchor protein 5 (AKAP-5) (A-kinase anchor protein 79 kDa) (AKAP 79) (H21) (cAMP-dependent protein kinase regulatory subunit II high affinity-binding protein)	AKAP5 AKAP79	Homo sapiens (Human)	427	ENSG00000179841	
Q8WWY8	LIPH_HUMAN	Lipase member H (LIPH) (EC 3.1.1.-) (LPD lipase-related protein) (Membrane-associated phosphatidic acid-selective phospholipase A1-alpha) (mPA-PLA1 alpha) (Phospholipase A1 member B)	LIPH LPDLR MPAPLA1 PLA1B	Homo sapiens (Human)	451	ENSG00000163898	
P29474	NOS3_HUMAN	Nitric oxide synthase, endothelial (EC 1.14.13.39) (Constitutive NOS) (cNOS) (EC-NOS) (Endothelial NOS) (eNOS) (NOS type III) (NOSIII)	NOS3	Homo sapiens (Human)	1203	ENSG00000164867	ENSG00000164867 -> P29474-1;P29474-2;P29474-3
O14678	ABCD4_HUMAN	Lysosomal cobalamin transporter ABCD4 (ATP-binding cassette sub-family D member 4) (PMP70-related protein) (P70R) (Peroxisomal membrane protein 1-like) (PXMP1-L) (Peroxisomal membrane protein 69) (PMP69)	ABCD4 PXMP1L	Homo sapiens (Human)	606	ENSG00000119688	
Q9H5J0	ZBTB3_HUMAN	Zinc finger and BTB domain-containing protein 3	ZBTB3	Homo sapiens (Human)	574	ENSG00000185670	
O94923	GLCE_HUMAN	D-glucuronyl C5-epimerase (EC 5.1.3.17) (Heparan sulfate C5-epimerase) (Hsepi) (Heparin/heparan sulfate:glucuronic acid C5-epimerase) (Heparosan-N-sulfate-glucuronate 5-epimerase)	GLCE KIAA0836	Homo sapiens (Human)	617	ENSG00000138604	
P48728	GCST_HUMAN	Aminomethyltransferase, mitochondrial (EC 2.1.2.10) (Glycine cleavage system T protein) (GCVT)	AMT GCST	Homo sapiens (Human)	403	ENSG00000145020	ENSG00000145020 -> P48728-1;P48728-2;P48728-3;P48728-4
Q9H0W5	CCDC8_HUMAN	Coiled-coil domain-containing protein 8	CCDC8	Homo sapiens (Human)	538	ENSG00000169515	
Q9Y6Z7	COL10_HUMAN	Collectin-10 (Collectin liver protein 1) (CL-L1) (Collectin-34) (CL-34)	COLEC10 CLL1 UNQ366/PRO702	Homo sapiens (Human)	277	ENSG00000184374	
Q14296	FASTK_HUMAN	Fas-activated serine/threonine kinase (FAST kinase) (EC 2.7.11.8)	FASTK	Homo sapiens (Human)	549	ENSG00000164896	ENSG00000164896 -> Q14296-1;Q14296-2;Q14296-3
Q9Y597	KCTD3_HUMAN	BTB/POZ domain-containing protein KCTD3 (Renal carcinoma antigen NY-REN-45)	KCTD3	Homo sapiens (Human)	815	ENSG00000136636	ENSG00000136636 -> Q9Y597-1
Q96LA8	ANM6_HUMAN	Protein arginine N-methyltransferase 6 (EC 2.1.1.319) (Heterogeneous nuclear ribonucleoprotein methyltransferase-like protein 6) (Histone-arginine N-methyltransferase PRMT6)	PRMT6 HRMT1L6	Homo sapiens (Human)	375	ENSG00000198890	ENSG00000198890 -> Q96LA8-1
Q02156	KPCE_HUMAN	Protein kinase C epsilon type (EC 2.7.11.13) (nPKC-epsilon)	PRKCE PKCE	Homo sapiens (Human)	737	ENSG00000171132	
O14775	GNB5_HUMAN	Guanine nucleotide-binding protein subunit beta-5 (Gbeta5) (Transducin beta chain 5)	GNB5	Homo sapiens (Human)	395	ENSG00000069966	ENSG00000069966 -> O14775-1;O14775-2;O14775-3
P24723	KPCL_HUMAN	Protein kinase C eta type (EC 2.7.11.13) (PKC-L) (nPKC-eta)	PRKCH PKCL PRKCL	Homo sapiens (Human)	683	ENSG00000027075	ENSG00000027075 -> P24723-1;P24723-2
P56282	DPOE2_HUMAN	DNA polymerase epsilon subunit 2 (DNA polymerase II subunit 2) (DNA polymerase epsilon subunit B)	POLE2 DPE2	Homo sapiens (Human)	527	ENSG00000100479	ENSG00000100479 -> P56282-1;P56282-2;P56282-3
Q5QP82	DCA10_HUMAN	DDB1- and CUL4-associated factor 10 (WD repeat-containing protein 32)	DCAF10 WDR32	Homo sapiens (Human)	559	ENSG00000122741	ENSG00000122741 -> Q5QP82-1
Q16827	PTPRO_HUMAN	Receptor-type tyrosine-protein phosphatase O (R-PTP-O) (EC 3.1.3.48) (Glomerular epithelial protein 1) (Protein tyrosine phosphatase U2) (PTP-U2) (PTPase U2)	PTPRO GLEPP1 PTPU2	Homo sapiens (Human)	1216	ENSG00000151490	ENSG00000151490 -> Q16827-1;Q16827-2;Q16827-3;Q16827-4;Q16827-5
Q9UK97	FBX9_HUMAN	F-box only protein 9 (Cross-immune reaction antigen 1) (Renal carcinoma antigen NY-REN-57)	FBXO9 FBX9 VCIA1	Homo sapiens (Human)	447	ENSG00000112146	ENSG00000112146 -> Q9UK97-1;Q9UK97-2;Q9UK97-3
Q14469	HES1_HUMAN	Transcription factor HES-1 (Class B basic helix-loop-helix protein 39) (bHLHb39) (Hairy and enhancer of split 1) (Hairy homolog) (Hairy-like protein) (hHL)	HES1 BHLHB39 HL HRY	Homo sapiens (Human)	280	ENSG00000114315	
P01185	NEU2_HUMAN	Vasopressin-neurophysin 2-copeptin (AVP-NPII) [Cleaved into: Arg-vasopressin (Arginine-vasopressin); Neurophysin 2 (Neurophysin-II); Copeptin]	AVP ARVP VP	Homo sapiens (Human)	164	ENSG00000101200	
Q8NEV8	EXPH5_HUMAN	Exophilin-5 (Synaptotagmin-like protein homolog lacking C2 domains b) (SlaC2-b) (Slp homolog lacking C2 domains b)	EXPH5 KIAA0624 SLAC2B	Homo sapiens (Human)	1989	ENSG00000110723	
Q9H4K7	MTG2_HUMAN	Mitochondrial ribosome-associated GTPase 2 (GTP-binding protein 5) (Protein obg homolog 1) (ObgH1)	MTG2 GTPBP5 OBGH1	Homo sapiens (Human)	406	ENSG00000101181	ENSG00000101181 -> Q9H4K7-1
Q9HCE7	SMUF1_HUMAN	E3 ubiquitin-protein ligase SMURF1 (hSMURF1) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase SMURF1) (SMAD ubiquitination regulatory factor 1) (SMAD-specific E3 ubiquitin-protein ligase 1)	SMURF1 KIAA1625	Homo sapiens (Human)	757	ENSG00000198742	ENSG00000198742 -> Q9HCE7-1;Q9HCE7-2
P48431	SOX2_HUMAN	Transcription factor SOX-2	SOX2	Homo sapiens (Human)	317	ENSG00000181449	
O95714	HERC2_HUMAN	E3 ubiquitin-protein ligase HERC2 (EC 2.3.2.26) (HECT domain and RCC1-like domain-containing protein 2) (HECT-type E3 ubiquitin transferase HERC2)	HERC2	Homo sapiens (Human)	4834	ENSG00000128731	
Q6ZWB6	KCTD8_HUMAN	BTB/POZ domain-containing protein KCTD8	KCTD8	Homo sapiens (Human)	473	ENSG00000183783	
Q86W56	PARG_HUMAN	Poly(ADP-ribose) glycohydrolase (EC 3.2.1.143)	PARG	Homo sapiens (Human)	976	ENSG00000227345	ENSG00000227345 -> Q86W56-1
Q9NS15	LTBP3_HUMAN	Latent-transforming growth factor beta-binding protein 3 (LTBP-3)	LTBP3	Homo sapiens (Human)	1303	ENSG00000168056	ENSG00000168056 -> Q9NS15-1;Q9NS15-2
Q9UJX6	ANC2_HUMAN	Anaphase-promoting complex subunit 2 (APC2) (Cyclosome subunit 2)	ANAPC2 APC2 KIAA1406	Homo sapiens (Human)	822	ENSG00000176248	ENSG00000176248 -> Q9UJX6-1
Q15596	NCOA2_HUMAN	Nuclear receptor coactivator 2 (NCoA-2) (Class E basic helix-loop-helix protein 75) (bHLHe75) (Transcriptional intermediary factor 2) (hTIF2)	NCOA2 BHLHE75 SRC2 TIF2	Homo sapiens (Human)	1464	ENSG00000140396	
Q92560	BAP1_HUMAN	Ubiquitin carboxyl-terminal hydrolase BAP1 (EC 3.4.19.12) (BRCA1-associated protein 1) (Cerebral protein 6)	BAP1 KIAA0272 hucep-6	Homo sapiens (Human)	729	ENSG00000163930	
Q6PIJ6	FBX38_HUMAN	F-box only protein 38	FBXO38 SP329	Homo sapiens (Human)	1188	ENSG00000145868	ENSG00000145868 -> Q6PIJ6-1;Q6PIJ6-2;Q6PIJ6-3
Q9BSI4	TINF2_HUMAN	TERF1-interacting nuclear factor 2 (TRF1-interacting nuclear protein 2)	TINF2 TIN2	Homo sapiens (Human)	451	ENSG00000092330	ENSG00000092330 -> Q9BSI4-1;Q9BSI4-2
Q9HBG6	IF122_HUMAN	Intraflagellar transport protein 122 homolog (WD repeat-containing protein 10) (WD repeat-containing protein 140)	IFT122 SPG WDR10 WDR140	Homo sapiens (Human)	1241	ENSG00000163913	ENSG00000163913 -> Q9HBG6-1;Q9HBG6-3;Q9HBG6-4;Q9HBG6-5;Q9HBG6-6;Q9HBG6-7;Q9HBG6-8;Q9HBG6-9
Q9H469	FXL15_HUMAN	F-box/LRR-repeat protein 15 (F-box only protein 37)	FBXL15 FBXO37	Homo sapiens (Human)	300	ENSG00000107872	
P40337	VHL_HUMAN	von Hippel-Lindau disease tumor suppressor (Protein G7) (pVHL)	VHL	Homo sapiens (Human)	213	ENSG00000134086	ENSG00000134086 -> P40337-1;P40337-2
P48436	SOX9_HUMAN	Transcription factor SOX-9	SOX9	Homo sapiens (Human)	509	ENSG00000125398	
Q2T9J0	TYSD1_HUMAN	Peroxisomal leader peptide-processing protease (EC 3.4.21.-) (Trypsin domain-containing protein 1) [Cleaved into: Peroxisomal leader peptide-processing protease, 15 kDa form; Peroxisomal leader peptide-processing protease, 45 kDa form]	TYSND1	Homo sapiens (Human)	566	ENSG00000156521	ENSG00000156521 -> Q2T9J0-1;Q2T9J0-2
P14616	INSRR_HUMAN	Insulin receptor-related protein (IRR) (EC 2.7.10.1) (IR-related receptor) [Cleaved into: Insulin receptor-related protein alpha chain; Insulin receptor-related protein beta chain]	INSRR IRR	Homo sapiens (Human)	1297	ENSG00000027644	
Q5JPI3	CC038_HUMAN	Uncharacterized protein C3orf38	C3orf38	Homo sapiens (Human)	329	ENSG00000179021	ENSG00000179021 -> Q5JPI3-1
Q8TBP5	F174A_HUMAN	Membrane protein FAM174A (Hepatitis C virus NS5A-transactivated protein 6) (HCV NS5A-transactivated protein 6) (Transmembrane protein 157)	FAM174A NS5ATP6 TMEM157 UNQ1912/PRO4371	Homo sapiens (Human)	190	ENSG00000174132	
Q96AP0	ACD_HUMAN	Adrenocortical dysplasia protein homolog (POT1 and TIN2-interacting protein)	ACD PIP1 PTOP TINT1 TPP1	Homo sapiens (Human)	458	ENSG00000102977	ENSG00000102977 -> Q96AP0-2;Q96AP0-3
P14672	GLUT4_HUMAN	Solute carrier family 2, facilitated glucose transporter member 4 (Glucose transporter type 4, insulin-responsive) (GLUT-4)	SLC2A4 GLUT4	Homo sapiens (Human)	509	ENSG00000181856	ENSG00000181856 -> P14672-1;P14672-2
Q96J92	WNK4_HUMAN	Serine/threonine-protein kinase WNK4 (EC 2.7.11.1) (Protein kinase lysine-deficient 4) (Protein kinase with no lysine 4)	WNK4 PRKWNK4	Homo sapiens (Human)	1243	ENSG00000126562	ENSG00000126562 -> Q96J92-1
Q96JK2	DCAF5_HUMAN	DDB1- and CUL4-associated factor 5 (Breakpoint cluster region protein 2) (BCRP2) (WD repeat-containing protein 22)	DCAF5 BCRG2 KIAA1824 WDR22	Homo sapiens (Human)	942	ENSG00000139990	ENSG00000139990 -> Q96JK2-1;Q96JK2-2;Q96JK2-3
Q9NQZ5	STAR7_HUMAN	StAR-related lipid transfer protein 7, mitochondrial (Gestational trophoblastic tumor protein 1) (START domain-containing protein 7) (StARD7)	STARD7 GTT1	Homo sapiens (Human)	370	ENSG00000084090	
P34947	GRK5_HUMAN	G protein-coupled receptor kinase 5 (EC 2.7.11.16) (G protein-coupled receptor kinase GRK5)	GRK5 GPRK5	Homo sapiens (Human)	590	ENSG00000198873	
Q9H6A0	DEN2D_HUMAN	DENN domain-containing protein 2D	DENND2D	Homo sapiens (Human)	471	ENSG00000162777	ENSG00000162777 -> Q9H6A0-1;Q9H6A0-2
Q96HA8	NTAQ1_HUMAN	Protein N-terminal glutamine amidohydrolase (EC 3.5.1.122) (Protein NH2-terminal glutamine deamidase) (N-terminal Gln amidase) (Nt(Q)-amidase) (WDYHV motif-containing protein 1)	NTAQ1 C8orf32 WDYHV1	Homo sapiens (Human)	205	ENSG00000156795	ENSG00000156795 -> Q96HA8-1;Q96HA8-2
Q9Y3M8	STA13_HUMAN	StAR-related lipid transfer protein 13 (46H23.2) (Deleted in liver cancer 2 protein) (DLC-2) (Rho GTPase-activating protein) (START domain-containing protein 13) (StARD13)	STARD13 DLC2 GT650	Homo sapiens (Human)	1113	ENSG00000133121	ENSG00000133121 -> Q9Y3M8-1;Q9Y3M8-2;Q9Y3M8-3
Q96S38	KS6C1_HUMAN	Ribosomal protein S6 kinase delta-1 (S6K-delta-1) (EC 2.7.11.1) (52 kDa ribosomal protein S6 kinase) (Ribosomal S6 kinase-like protein with two PSK domains 118 kDa protein) (SPHK1-binding protein)	RPS6KC1 RPK118	Homo sapiens (Human)	1066	ENSG00000136643	ENSG00000136643 -> Q96S38-1;Q96S38-2
Q9UBS0	KS6B2_HUMAN	Ribosomal protein S6 kinase beta-2 (S6K-beta-2) (S6K2) (EC 2.7.11.1) (70 kDa ribosomal protein S6 kinase 2) (P70S6K2) (p70-S6K 2) (S6 kinase-related kinase) (SRK) (Serine/threonine-protein kinase 14B) (p70 ribosomal S6 kinase beta) (S6K-beta) (p70 S6 kinase beta) (p70 S6K-beta) (p70 S6KB) (p70-beta)	RPS6KB2 STK14B	Homo sapiens (Human)	482	ENSG00000175634	ENSG00000175634 -> Q9UBS0-1;Q9UBS0-2
Q13829	BACD2_HUMAN	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 2 (hBACURD2) (BTB/POZ domain-containing protein TNFAIP1) (Protein B12) (Tumor necrosis factor, alpha-induced protein 1, endothelial)	TNFAIP1 BACURD2 EDP1	Homo sapiens (Human)	316	ENSG00000109079	ENSG00000109079 -> Q13829-1;Q13829-2
P42679	MATK_HUMAN	Megakaryocyte-associated tyrosine-protein kinase (EC 2.7.10.2) (CSK homologous kinase) (CHK) (Hematopoietic consensus tyrosine-lacking kinase) (Protein kinase HYL) (Tyrosine-protein kinase CTK)	MATK CTK HYL	Homo sapiens (Human)	507	ENSG00000007264	ENSG00000007264 -> P42679-1;P42679-2;P42679-3
Q15051	IQCB1_HUMAN	IQ calmodulin-binding motif-containing protein 1 (Nephrocystin-5) (p53 and DNA damage-regulated IQ motif protein) (PIQ)	IQCB1 KIAA0036 NPHP5 OK/SW-cl.85	Homo sapiens (Human)	598	ENSG00000173226	ENSG00000173226 -> Q15051-1;Q15051-2;Q15051-3
O94952	FBX21_HUMAN	F-box only protein 21	FBXO21 FBX21 KIAA0875	Homo sapiens (Human)	628	ENSG00000135108	ENSG00000135108 -> O94952-1;O94952-2
P35590	TIE1_HUMAN	Tyrosine-protein kinase receptor Tie-1 (EC 2.7.10.1)	TIE1 TIE	Homo sapiens (Human)	1138	ENSG00000066056	ENSG00000066056 -> P35590-1;P35590-2
P30679	GNA15_HUMAN	Guanine nucleotide-binding protein subunit alpha-15 (G alpha-15) (G-protein subunit alpha-15) (Epididymis tissue protein Li 17E) (Guanine nucleotide-binding protein subunit alpha-16) (G alpha-16) (G-protein subunit alpha-16)	GNA15 GNA16	Homo sapiens (Human)	374	ENSG00000060558	
P10589	COT1_HUMAN	COUP transcription factor 1 (COUP-TF1) (COUP transcription factor I) (COUP-TF I) (Nuclear receptor subfamily 2 group F member 1) (V-erbA-related protein 3) (EAR-3)	NR2F1 EAR3 ERBAL3 TFCOUP1	Homo sapiens (Human)	423	ENSG00000175745	
Q9H0B8	CRLD2_HUMAN	Cysteine-rich secretory protein LCCL domain-containing 2 (Cysteine-rich secretory protein 11) (CRISP-11) (LCCL domain-containing cysteine-rich secretory protein 2)	CRISPLD2 CRISP11 LCRISP2 UNQ2914/PRO1156/PRO9783	Homo sapiens (Human)	497	ENSG00000103196	ENSG00000103196 -> Q9H0B8-1;Q9H0B8-2;Q9H0B8-5
Q96NS5	ASB16_HUMAN	Ankyrin repeat and SOCS box protein 16 (ASB-16)	ASB16	Homo sapiens (Human)	453	ENSG00000161664	
P09038	FGF2_HUMAN	Fibroblast growth factor 2 (FGF-2) (Basic fibroblast growth factor) (bFGF) (Heparin-binding growth factor 2) (HBGF-2)	FGF2 FGFB	Homo sapiens (Human)	288	ENSG00000138685	ENSG00000138685 -> P09038-2
Q9UQB9	AURKC_HUMAN	Aurora kinase C (EC 2.7.11.1) (Aurora 3) (Aurora/IPL1-related kinase 3) (ARK-3) (Aurora-related kinase 3) (Aurora/IPL1/Eg2 protein 2) (Serine/threonine-protein kinase 13) (Serine/threonine-protein kinase aurora-C)	AURKC AIE2 AIK3 AIRK3 ARK3 STK13	Homo sapiens (Human)	309	ENSG00000105146	ENSG00000105146 -> Q9UQB9-1;Q9UQB9-2;Q9UQB9-3
O75665	OFD1_HUMAN	Oral-facial-digital syndrome 1 protein (Protein 71-7A)	OFD1 CXorf5	Homo sapiens (Human)	1012	ENSG00000046651	ENSG00000046651 -> O75665-1;O75665-3
Q9NQ34	TMM9B_HUMAN	Transmembrane protein 9B	TMEM9B C11orf15 UNQ712/PRO1375	Homo sapiens (Human)	198	ENSG00000175348	ENSG00000175348 -> Q9NQ34-1;Q9NQ34-2
Q12851	M4K2_HUMAN	Mitogen-activated protein kinase kinase kinase kinase 2 (EC 2.7.11.1) (B lymphocyte serine/threonine-protein kinase) (Germinal center kinase) (GC kinase) (MAPK/ERK kinase kinase kinase 2) (MEK kinase kinase 2) (MEKKK 2) (Rab8-interacting protein)	MAP4K2 GCK RAB8IP	Homo sapiens (Human)	820	ENSG00000168067	ENSG00000168067 -> Q12851-1;Q12851-2
Q93063	EXT2_HUMAN	Exostosin-2 (EC 2.4.1.224) (EC 2.4.1.225) (Glucuronosyl-N-acetylglucosaminyl-proteoglycan/N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase) (Multiple exostoses protein 2) (Putative tumor suppressor protein EXT2)	EXT2	Homo sapiens (Human)	718	ENSG00000151348	ENSG00000151348 -> Q93063-1;Q93063-2;Q93063-3
Q6P087	RUSD3_HUMAN	Mitochondrial mRNA pseudouridine synthase RPUSD3 (EC 5.4.99.-) (RNA pseudouridylate synthase domain-containing protein 3)	RPUSD3	Homo sapiens (Human)	351	ENSG00000156990	ENSG00000156990 -> Q6P087-1;Q6P087-2
Q9NRG4	SMYD2_HUMAN	N-lysine methyltransferase SMYD2 (EC 2.1.1.-) (HSKM-B) (Histone methyltransferase SMYD2) (EC 2.1.1.354) (Lysine N-methyltransferase 3C) (SET and MYND domain-containing protein 2)	SMYD2 KMT3C	Homo sapiens (Human)	433	ENSG00000143499	ENSG00000143499 -> Q9NRG4-1
P51854	TKTL1_HUMAN	Transketolase-like protein 1 (EC 2.2.1.1) (Transketolase 2) (TK 2) (Transketolase-related protein)	TKTL1 TKR TKT2	Homo sapiens (Human)	596	ENSG00000007350	ENSG00000007350 -> P51854-3;P51854-4
Q9H7D0	DOCK5_HUMAN	Dedicator of cytokinesis protein 5	DOCK5	Homo sapiens (Human)	1870	ENSG00000147459	ENSG00000147459 -> Q9H7D0-1;Q9H7D0-2
Q8NC60	NOA1_HUMAN	Nitric oxide-associated protein 1	NOA1 C4orf14	Homo sapiens (Human)	698	ENSG00000084092	
Q9BZ23	PANK2_HUMAN	Pantothenate kinase 2, mitochondrial (hPanK2) (EC 2.7.1.33) (Pantothenic acid kinase 2)	PANK2 C20orf48	Homo sapiens (Human)	570	ENSG00000125779	ENSG00000125779 -> Q9BZ23-1;Q9BZ23-2;Q9BZ23-3
Q96PU4	UHRF2_HUMAN	E3 ubiquitin-protein ligase UHRF2 (EC 2.3.2.27) (Np95/ICBP90-like RING finger protein) (Np95-like RING finger protein) (Nuclear protein 97) (Nuclear zinc finger protein Np97) (RING finger protein 107) (RING-type E3 ubiquitin transferase UHRF2) (Ubiquitin-like PHD and RING finger domain-containing protein 2) (Ubiquitin-like-containing PHD and RING finger domains protein 2)	UHRF2 NIRF RNF107	Homo sapiens (Human)	802	ENSG00000147854	ENSG00000147854 -> Q96PU4-1;Q96PU4-2
Q8TDM6	DLG5_HUMAN	Disks large homolog 5 (Discs large protein P-dlg) (Placenta and prostate DLG)	DLG5 KIAA0583 PDLG	Homo sapiens (Human)	1919	ENSG00000151208	ENSG00000151208 -> Q8TDM6-1
Q9H497	TOR3A_HUMAN	Torsin-3A (ATP-dependent interferon-responsive protein) (Torsin family 3 member A)	TOR3A ADIR	Homo sapiens (Human)	397	ENSG00000186283	ENSG00000186283 -> Q9H497-1;Q9H497-2
O75956	CDKA2_HUMAN	Cyclin-dependent kinase 2-associated protein 2 (CDK2-associated protein 2) (DOC-1-related protein) (DOC-1R)	CDK2AP2 DOC1R	Homo sapiens (Human)	126	ENSG00000167797	
P10632	CP2C8_HUMAN	Cytochrome P450 2C8 (EC 1.14.14.1) (CYPIIC8) (Cytochrome P450 IIC2) (Cytochrome P450 MP-12) (Cytochrome P450 MP-20) (Cytochrome P450 form 1) (S-mephenytoin 4-hydroxylase)	CYP2C8	Homo sapiens (Human)	490	ENSG00000138115	ENSG00000138115 -> P10632-1;P10632-2
P08100	OPSD_HUMAN	Rhodopsin (Opsin-2)	RHO OPN2	Homo sapiens (Human)	348	ENSG00000163914	
O43827	ANGL7_HUMAN	Angiopoietin-related protein 7 (Angiopoietin-like factor) (Angiopoietin-like protein 7) (Cornea-derived transcript 6 protein)	ANGPTL7 CDT6 UNQ313/PRO356	Homo sapiens (Human)	346	ENSG00000171819	
P55017	S12A3_HUMAN	Solute carrier family 12 member 3 (Na-Cl cotransporter) (NCC) (Na-Cl symporter) (Thiazide-sensitive sodium-chloride cotransporter)	SLC12A3 NCC TSC	Homo sapiens (Human)	1021	ENSG00000070915	ENSG00000070915 -> P55017-1;P55017-2;P55017-3
Q8TBE9	NANP_HUMAN	N-acylneuraminate-9-phosphatase (EC 3.1.3.29) (Haloacid dehalogenase-like hydrolase domain-containing protein 4) (Neu5Ac-9-Pase)	NANP C20orf147 HDHD4	Homo sapiens (Human)	248	ENSG00000170191	
P30281	CCND3_HUMAN	G1/S-specific cyclin-D3	CCND3	Homo sapiens (Human)	292	ENSG00000112576	ENSG00000112576 -> P30281-1;P30281-2;P30281-3;P30281-4
Q96DB2	HDA11_HUMAN	Histone deacetylase 11 (HD11) (EC 3.5.1.98)	HDAC11	Homo sapiens (Human)	347	ENSG00000163517	ENSG00000163517 -> Q96DB2-1;Q96DB2-2
Q92611	EDEM1_HUMAN	ER degradation-enhancing alpha-mannosidase-like protein 1	EDEM1 EDEM KIAA0212	Homo sapiens (Human)	657	ENSG00000134109	ENSG00000134109 -> Q92611-1;Q92611-2
Q9UKB1	FBW1B_HUMAN	F-box/WD repeat-containing protein 11 (F-box and WD repeats protein beta-TrCP2) (F-box/WD repeat-containing protein 1B) (Homologous to Slimb protein) (HOS)	FBXW11 BTRCP2 FBW1B FBXW1B KIAA0696	Homo sapiens (Human)	542	ENSG00000072803	ENSG00000072803 -> Q9UKB1-1;Q9UKB1-2;Q9UKB1-3
Q9Y4K3	TRAF6_HUMAN	TNF receptor-associated factor 6 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRAF6) (Interleukin-1 signal transducer) (RING finger protein 85) (RING-type E3 ubiquitin transferase TRAF6)	TRAF6 RNF85	Homo sapiens (Human)	522	ENSG00000175104	
Q15678	PTN14_HUMAN	Tyrosine-protein phosphatase non-receptor type 14 (EC 3.1.3.48) (Protein-tyrosine phosphatase pez)	PTPN14 PEZ PTPD2	Homo sapiens (Human)	1187	ENSG00000152104	
Q12778	FOXO1_HUMAN	Forkhead box protein O1 (Forkhead box protein O1A) (Forkhead in rhabdomyosarcoma)	FOXO1 FKHR FOXO1A	Homo sapiens (Human)	655	ENSG00000150907	
Q96QT6	PHF12_HUMAN	PHD finger protein 12 (PHD factor 1) (Pf1)	PHF12 KIAA1523	Homo sapiens (Human)	1004	ENSG00000109118	ENSG00000109118 -> Q96QT6-1;Q96QT6-2;Q96QT6-5
Q4G0X4	KCD21_HUMAN	BTB/POZ domain-containing protein KCTD21 (KCASH2 protein) (Potassium channel tetramerization domain-containing protein 21)	KCTD21	Homo sapiens (Human)	260	ENSG00000188997	
O75648	MTU1_HUMAN	Mitochondrial tRNA-specific 2-thiouridylase 1 (EC 2.8.1.14) (MTO2 homolog)	TRMU MTU1 TRMT1	Homo sapiens (Human)	421	ENSG00000100416	ENSG00000100416 -> O75648-1;O75648-2;O75648-5
Q96NT1	NP1L5_HUMAN	Nucleosome assembly protein 1-like 5 (Down-regulated in liver malignancy)	NAP1L5 DRLM	Homo sapiens (Human)	182	ENSG00000177432	
A6NKD9	CC85C_HUMAN	Coiled-coil domain-containing protein 85C	CCDC85C	Homo sapiens (Human)	419	ENSG00000205476	
Q53GL0	PKHO1_HUMAN	Pleckstrin homology domain-containing family O member 1 (PH domain-containing family O member 1) (C-Jun-binding protein) (JBP) (Casein kinase 2-interacting protein 1) (CK2-interacting protein 1) (CKIP-1) (Osteoclast maturation-associated gene 120 protein)	PLEKHO1 CKIP1 OC120 HQ0024c	Homo sapiens (Human)	409	ENSG00000023902	ENSG00000023902 -> Q53GL0-1
Q9HCU9	BRMS1_HUMAN	Breast cancer metastasis-suppressor 1	BRMS1	Homo sapiens (Human)	246	ENSG00000174744	
Q9H7H0	MET17_HUMAN	Methyltransferase-like protein 17, mitochondrial (EC 2.1.1.-) (False p73 target gene protein) (Methyltransferase 11 domain-containing protein 1) (Protein RSM22 homolog, mitochondrial)	METTL17 METT11D1	Homo sapiens (Human)	456	ENSG00000165792	ENSG00000165792 -> Q9H7H0-1;Q9H7H0-2;Q9H7H0-3
Q9BX46	RBM24_HUMAN	RNA-binding protein 24 (RNA-binding motif protein 24) (RNA-binding region-containing protein 6)	RBM24 RNPC6	Homo sapiens (Human)	236	ENSG00000112183	ENSG00000112183 -> Q9BX46-1;Q9BX46-2;Q9BX46-5
P54762	EPHB1_HUMAN	Ephrin type-B receptor 1 (EC 2.7.10.1) (ELK) (EPH tyrosine kinase 2) (EPH-like kinase 6) (EK6) (hEK6) (Neuronally-expressed EPH-related tyrosine kinase) (NET) (Tyrosine-protein kinase receptor EPH-2)	EPHB1 ELK EPHT2 HEK6 NET	Homo sapiens (Human)	984	ENSG00000154928	ENSG00000154928 -> P54762-1;P54762-5
O14777	NDC80_HUMAN	Kinetochore protein NDC80 homolog (Highly expressed in cancer protein) (Kinetochore protein Hec1) (HsHec1) (Kinetochore-associated protein 2) (Retinoblastoma-associated protein HEC)	NDC80 HEC HEC1 KNTC2	Homo sapiens (Human)	642	ENSG00000080986	
